Temperature, Humidity, Pressure, Gas
25.15,56.52,997.86,128.10
25.15,56.53,997.85,128.48
25.14,56.52,997.85,127.33
25.13,56.53,997.85,127.33
25.13,56.53,997.85,127.52
25.12,56.54,997.85,127.52
25.11,56.56,997.85,127.62
25.11,56.60,997.85,127.62
25.10,56.61,997.85,128.38
25.10,56.61,997.85,128.00
25.09,56.62,997.85,128.10
25.09,56.65,997.85,128.68
25.08,56.69,997.85,128.29
25.08,56.71,997.85,129.36
25.07,56.73,997.85,126.95
25.07,56.75,997.85,127.90
25.06,56.77,997.85,128.10
25.06,56.78,997.85,128.68
25.05,56.77,997.85,128.19
25.04,56.77,997.85,129.16
25.04,56.77,997.85,128.48
25.03,56.83,997.85,129.26
25.03,56.82,997.85,128.48
25.02,56.87,997.85,128.68
25.02,56.94,997.85,128.97
25.01,56.99,997.85,129.65
25.01,57.01,997.85,130.45
25.00,57.00,997.85,130.65
25.00,57.01,997.85,131.65
24.99,57.02,997.85,131.35
24.99,57.09,997.85,131.55
24.98,57.14,997.85,131.76
24.98,57.21,997.85,131.86
24.97,57.24,997.85,131.65
24.96,57.27,997.85,131.86
24.96,57.30,997.85,132.88
24.95,57.33,997.85,132.06
24.95,57.35,997.85,132.06
24.94,57.38,997.85,132.68
24.94,57.42,997.85,132.88
24.93,57.45,997.85,133.09
24.93,57.50,997.85,133.72
24.92,57.53,997.85,133.93
24.92,57.56,997.85,134.03
24.91,57.58,997.85,134.03
24.91,57.59,997.85,134.24
24.90,57.59,997.85,134.56
24.90,57.60,997.85,134.88
24.89,57.63,997.85,134.99
24.89,57.66,997.85,134.99
24.89,57.69,997.85,134.14
24.88,57.72,997.85,134.35
24.88,57.74,997.85,134.66
24.87,57.73,997.85,134.88
24.87,57.71,997.85,134.56
24.86,57.67,997.85,134.56
24.86,57.66,997.85,134.99
24.86,57.67,997.85,133.72
24.85,57.69,997.85,133.93
24.85,57.74,997.85,134.77
24.84,57.77,997.85,133.61
24.84,57.78,997.85,133.09
24.84,57.76,997.85,133.51
24.83,57.75,997.85,133.93
24.83,57.74,997.85,133.82
24.83,57.78,997.85,132.68
24.82,57.85,997.85,134.35
24.82,57.90,997.85,135.20
24.81,57.91,997.85,135.31
24.81,57.94,997.85,135.85
24.80,58.00,997.85,136.28
24.80,58.07,997.84,136.61
24.80,58.08,997.85,134.77
24.79,58.09,997.84,135.41
24.79,58.10,997.84,135.31
24.78,58.11,997.84,135.09
24.78,58.12,997.84,135.20
24.78,58.09,997.84,135.63
24.77,58.06,997.84,135.41
24.77,58.04,997.84,134.88
24.76,58.04,997.84,134.35
24.76,58.05,997.84,134.99
24.75,58.05,997.84,134.99
24.75,58.04,997.84,134.88
24.74,58.06,997.84,135.20
24.74,58.11,997.84,135.85
24.73,58.19,997.84,136.28
24.73,58.28,997.84,136.50
24.72,58.34,997.84,136.61
24.72,58.35,997.84,136.50
24.71,58.34,997.84,135.74
24.71,58.33,997.85,135.41
24.70,58.34,997.85,134.99
24.70,58.35,997.85,135.41
24.69,58.39,997.85,135.41
24.69,58.45,997.85,136.93
24.68,58.49,997.85,135.20
24.68,58.48,997.85,134.77
24.68,58.44,997.85,134.45
24.67,58.43,997.85,134.56
24.67,58.45,997.85,135.63
24.66,58.49,997.85,134.77
24.66,58.49,997.85,134.99
24.65,58.52,997.85,136.06
24.65,58.57,997.85,136.28
24.64,58.58,997.85,136.82
24.64,58.59,997.85,135.85
24.63,58.58,997.85,135.20
24.63,58.59,997.85,135.52
24.62,58.65,997.85,136.61
24.62,58.71,997.86,135.95
24.62,58.74,997.86,136.28
24.61,58.74,997.86,136.71
24.61,58.77,997.86,135.41
24.60,58.80,997.86,134.56
24.60,58.84,997.86,135.95
24.60,58.93,997.86,136.06
24.59,58.96,997.85,136.06
24.59,58.96,997.86,136.06
24.58,58.95,997.86,135.74
24.58,58.93,997.86,135.63
24.58,58.91,997.86,136.06
24.57,58.90,997.85,135.63
24.57,58.90,997.85,135.63
24.56,58.92,997.85,136.50
24.56,58.98,997.85,137.04
24.56,58.99,997.85,136.93
24.55,58.99,997.85,136.28
24.55,59.00,997.85,136.82
24.55,59.01,997.86,136.61
24.54,59.02,997.85,136.50
24.54,59.04,997.85,136.61
24.53,59.05,997.85,136.61
24.53,59.08,997.85,137.15
24.53,59.13,997.85,137.60
24.52,59.14,997.85,138.27
24.52,59.13,997.85,137.26
24.52,59.11,997.85,137.15
24.51,59.14,997.85,136.61
24.51,59.22,997.85,136.17
24.51,59.34,997.85,137.15
24.50,59.44,997.85,139.40
24.50,59.48,997.85,138.04
24.50,59.46,997.85,137.04
24.50,59.40,997.85,137.26
24.49,59.35,997.85,136.39
24.49,59.36,997.85,137.15
24.49,59.44,997.85,138.15
24.49,59.48,997.85,138.27
24.49,59.51,997.85,139.17
24.48,59.53,997.85,139.85
24.48,59.53,997.85,140.31
24.48,59.58,997.85,140.54
24.48,59.60,997.85,140.66
24.48,59.60,997.85,140.54
24.48,59.56,997.85,140.31
24.48,59.56,997.85,139.85
24.48,59.57,997.85,141.48
24.48,59.58,997.85,140.20
24.47,59.59,997.85,141.36
24.47,59.58,997.85,142.30
24.47,59.58,997.85,141.59
24.47,59.58,997.85,141.71
24.47,59.56,997.85,140.77
24.47,59.56,997.85,140.31
24.47,59.56,997.85,140.66
24.47,59.56,997.85,139.85
24.47,59.58,997.85,141.12
24.47,59.67,997.85,141.36
24.47,59.71,997.85,140.77
24.46,59.71,997.85,141.12
24.46,59.70,997.85,141.01
24.46,59.68,997.85,139.40
24.46,59.64,997.85,140.54
24.46,59.68,997.85,140.77
24.46,59.71,997.85,140.31
24.46,59.76,997.85,141.48
24.46,59.79,997.85,141.71
24.45,59.79,997.85,141.36
24.45,59.79,997.85,140.31
24.45,59.77,997.85,139.62
24.45,59.79,997.85,139.62
24.45,59.81,997.85,139.51
24.44,59.82,997.85,139.28
24.44,59.85,997.85,139.40
24.44,59.84,997.85,139.62
24.44,59.84,997.85,138.94
24.44,59.88,997.84,139.28
24.43,59.94,997.84,137.93
24.43,59.97,997.84,139.17
24.43,59.99,997.84,138.60
24.43,60.00,997.84,137.49
