Temperature, Humidity, Pressure, Gas
25.61,44.19,991.01,149.40
25.59,44.14,991.01,143.14
25.57,44.16,991.01,74.05
25.56,44.10,991.01,55.54
25.54,44.11,991.00,56.95
25.53,44.09,991.00,49.37
25.51,44.09,990.99,42.36
25.50,44.00,990.99,44.76
25.49,43.91,990.99,47.82
25.50,43.93,990.99,39.35
25.53,43.94,990.99,27.90
25.65,44.49,990.99,18.39
25.80,43.87,990.99,11.60
26.00,42.59,990.99,12.08
26.26,41.10,990.99,12.92
26.59,39.78,991.00,10.04
27.01,38.55,991.00,12.15
27.50,37.02,991.01,7.16
28.01,34.96,991.01,6.17
28.62,33.74,991.03,5.73
29.28,31.58,991.04,5.68
29.93,29.68,991.06,5.68
30.57,28.39,991.07,5.68
31.23,27.22,991.09,5.68
31.92,26.93,991.10,5.68
32.59,25.14,991.10,5.68
33.25,24.36,991.11,5.68
33.91,25.38,991.12,5.68
34.52,24.24,991.12,5.68
35.06,23.11,991.12,5.68
35.53,22.51,991.12,5.68
35.96,22.83,991.12,5.68
36.33,22.70,991.12,5.68
36.64,22.74,991.11,5.68
36.88,23.04,991.11,5.68
37.10,23.91,991.10,5.68
37.30,24.00,991.09,5.68
37.51,24.47,991.09,5.68
37.75,24.89,991.08,5.68
38.00,24.50,991.08,5.68
38.24,23.80,991.07,5.68
38.47,23.24,991.06,5.68
38.70,22.96,991.06,5.68
39.01,24.18,991.06,5.68
39.37,24.08,991.06,5.68
39.78,24.25,991.06,5.68
40.21,22.94,991.06,5.68
40.60,21.25,991.07,5.68
40.97,20.71,991.07,5.68
41.30,20.09,991.06,5.68
41.57,19.58,991.06,5.68
41.83,20.01,991.06,5.68
42.06,19.71,991.05,5.68
42.26,19.84,991.05,5.68
42.44,20.34,991.04,5.68
42.60,20.08,991.04,5.68
42.72,20.72,991.03,5.68
42.81,20.56,991.03,5.68
42.87,20.38,991.02,5.68
42.89,20.32,991.02,5.68
42.88,20.41,991.02,5.68
42.81,20.61,991.01,5.68
42.75,22.18,991.00,5.68
42.72,23.89,991.00,5.68
42.65,23.20,991.00,5.68
42.55,22.77,990.99,5.68
42.45,22.94,990.99,5.68
42.32,22.89,990.98,5.68
42.16,22.95,990.98,5.68
41.98,23.19,990.98,5.68
41.79,23.82,990.97,5.68
41.58,24.59,990.97,5.68
41.38,25.03,990.96,5.68
41.21,26.16,990.96,5.68
41.07,26.06,990.95,5.68
40.94,25.65,990.95,5.68
40.82,25.56,990.95,5.68
40.71,25.63,990.95,5.68
40.58,24.97,990.95,5.68
40.44,24.82,990.94,5.68
40.31,25.24,990.94,5.68
40.19,25.68,990.94,5.68
40.10,26.17,990.94,5.68
40.01,26.36,990.94,5.68
39.92,26.08,990.94,5.68
39.80,25.55,990.93,5.68
39.68,25.67,990.93,5.68
39.56,25.82,990.92,5.68
39.43,26.04,990.92,5.68
39.30,26.24,990.92,5.68
39.17,25.92,990.92,5.68
39.02,25.96,990.92,5.68
38.85,25.89,990.91,5.68
38.62,26.07,990.90,5.68
38.36,26.37,990.90,5.68
38.09,27.06,990.90,5.68
37.84,27.91,990.89,5.68
37.63,28.76,990.90,5.68
37.42,28.99,990.90,5.68
37.22,28.86,990.89,5.68
37.03,29.07,990.89,5.68
36.85,29.06,990.89,5.68
36.65,28.72,990.89,5.68
36.45,28.63,990.88,6.00
36.27,28.94,990.88,6.88
36.08,29.16,990.88,6.92
35.87,29.13,990.87,7.46
35.65,29.25,990.87,7.30
35.43,29.58,990.87,5.94
35.21,30.02,990.87,5.76
35.04,31.28,990.86,5.68
34.90,31.62,990.86,5.68
34.80,32.27,990.86,5.68
34.77,32.15,990.85,5.68
34.77,31.43,990.85,5.68
34.78,30.35,990.85,5.68
34.78,29.45,990.84,5.68
34.81,29.14,990.84,5.68
34.85,29.17,990.84,5.68
34.89,28.83,990.84,5.68
34.94,28.51,990.83,5.68
