Sample,Temperature_Sample,Humidity_Sample,Pressure_Sample,Gas_0,Gas_1,Gas_2,Gas_3,Gas_4,Gas_5,Gas_6,Gas_7,Gas_8,Gas_9
1,2947,2540,10155584,305,67825,85139,102400,7977,8059,8143,336,310,302
2,3031,2432,10152591,316,72196,90426,102400,8059,8155,8387,348,326,319
3,3289,2068,10153808,294,64425,81716,102400,7485,7526,7761,324,304,301
4,3514,1978,10154268,246,46463,57589,102400,5051,5083,5155,247,238,237
5,4099,1625,10154415,226,41011,52314,102400,5023,5165,5265,242,238,237
6,4031,1812,10150072,229,42528,54568,102400,5301,5405,5560,246,235,237
7,3593,1826,10148978,246,47013,62002,102400,6466,6610,6804,277,262,258
8,3553,1765,10146853,260,52948,68142,102400,6779,6842,6969,280,266,261
9,3361,2006,10147430,271,56327,72077,102400,7434,7562,7834,303,282,276
10,3690,2083,10147714,238,43589,56582,102400,5285,5306,5379,243,234,231
11,3593,1899,10147544,251,47732,62311,102400,6651,6903,7091,279,264,259
12,3703,1815,10147769,208,35168,44341,94026,4670,4727,4806,212,207,211
13,3555,1806,10147325,228,41478,54534,102400,5669,5646,5771,245,237,237
14,3624,1806,10146858,249,49809,63031,102400,5839,5839,5896,254,239,236
15,3684,1661,10146864,182,29857,39278,74473,3818,3942,4050,196,198,205
16,3743,1698,10146903,155,22398,26997,47013,2563,2549,2530,154,154,155
17,3578,1861,10146386,210,36460,43807,92729,4561,4670,4832,226,218,216
