Sample,Temperature_Sample,Humidity_Sample,Pressure_Sample,Gas_0,Gas_1,Gas_2,Gas_3,Gas_4,Gas_5,Gas_6,Gas_7,Gas_8,Gas_9
1,3200,3967,10128589,191,29218,33834,59268,3095,3083,3083,178,179,184
2,3182,3986,10128543,187,29218,34285,58593,2951,2945,2910,175,178,182
3,3168,4015,10128394,194,30589,35802,63259,3210,3199,3201,181,184,186
4,3000,5200,10129956,176,25986,30166,50912,2689,2674,2705,167,172,176
5,3024,5275,10129815,169,24094,27455,44613,2397,2386,2368,157,160,165
6,3032,5548,10129975,169,24336,28236,43073,2312,2271,2236,151,156,161
7,2959,5406,10129438,171,24820,26981,37719,2081,1987,1935,147,162,162
8,2969,5363,10129229,164,25411,25062,33141,1887,1808,1767,158,147,154
9,2825,5426,10127898,182,28127,31379,52189,2700,2655,2650,171,175,178
10,2820,5450,10128084,183,28254,32476,52597,2674,2561,2511,168,170,174
11,2743,5854,10129963,169,23506,25352,31067,1756,1684,1642,141,149,161
12,2749,5829,10129771,170,23506,25560,30271,1729,1651,1566,138,145,152
13,2608,6390,10130335,169,24241,28457,45590,2399,2315,2269,158,164,171
14,2607,6411,10130389,165,26346,26220,39208,2081,1999,1963,148,156,162
15,2541,6434,10132648,173,24665,24513,30355,1789,1773,1751,148,156,165
16,2523,6417,10132841,193,28928,31977,49951,2568,2453,2380,168,173,178
17,2534,6610,10138796,149,18778,18843,22987,1336,1264,1192,121,130,138
18,2541,6601,10138786,139,16298,15262,15294,1004,951,912,113,125,134
19,2462,5967,10139688,182,28073,32670,56914,2852,2780,2719,177,181,186
20,2445,5954,10139726,214,35685,43373,77237,3773,3679,3564,204,202,204
21,2454,6106,10140987,163,21860,22081,26799,1616,1557,1503,140,150,159
22,2448,6088,10141057,162,20918,20878,23406,1482,1428,1381,136,148,157
23,2431,6076,10141052,165,22036,22536,27199,1649,1578,1527,142,152,160
24,2394,6260,10142226,177,25605,26931,33574,1891,1800,1734,150,159,166
25,2396,6257,10142299,187,28928,30870,40592,2277,2225,2200,166,175,182
26,2398,6270,10142197,183,27266,30418,41756,2298,2218,2133,163,171,177
27,2408,6102,10142144,183,27858,30418,40404,2243,2155,2121,165,170,178
28,2406,6094,10142016,181,26898,28163,39563,2236,2174,2141,165,173,179
29,2406,6058,10141989,192,29063,32118,44386,2433,2355,2277,168,174,181
30,2401,5857,10144999,178,25817,26538,33166,1916,1857,1809,155,163,170
31,2405,5842,10145149,175,24990,26017,31652,1860,1790,1733,152,161,169
32,2410,5837,10145421,171,24068,23506,27165,1651,1585,1520,145,155,163
33,2324,5260,10147233,240,43330,51542,82023,4136,4066,4139,238,236,242
34,2338,5282,10147255,226,38619,43502,69831,3573,3555,3527,217,218,222
35,2392,5275,10146647,216,36128,41011,63813,3323,3219,3126,202,205,209
